id,u_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,date,created_at
186,2,0.243534,0.305433,-0.561127,-0.0433658,0.0120695,0.016405,998,2019-09-29 14:41:45
187,2,0.239337,0.258733,-0.504509,-0.0425562,0.00544989,0.038639,188,2019-09-29 14:41:46
188,2,0.239337,0.258733,-0.504509,-0.0425562,0.00544989,0.038639,193,2019-09-29 14:41:46
189,2,0.21045,0.130372,-0.47821,-0.0330318,-0.0228356,0.0778124,389,2019-09-29 14:41:46
190,2,0.21045,0.130372,-0.47821,-0.0330318,-0.0228356,0.0778124,396,2019-09-29 14:41:46
191,2,0.115465,0.0250416,-0.546491,0.00152422,-0.0856658,0.119691,616,2019-09-29 14:41:46
192,2,0.115465,0.0250416,-0.546491,0.00152422,-0.0856658,0.119691,620,2019-09-29 14:41:46
193,2,-0.0355563,0.0520163,-0.646174,0.034325,-0.088044,0.0910984,797,2019-09-29 14:41:46
194,2,-0.0355563,0.0520163,-0.646174,0.034325,-0.088044,0.0910984,798,2019-09-29 14:41:46
195,2,-0.12666,0.0560588,-0.693396,0.0540398,-0.07957,0.0521152,986,2019-09-29 14:41:46
196,2,-0.12666,0.0560588,-0.693396,0.0540398,-0.07957,0.0521152,994,2019-09-29 14:41:46
197,2,-0.116734,0.0379267,-0.631085,0.0133359,-0.0795785,0.0488757,186,2019-09-29 14:41:47
198,2,-0.116734,0.0379267,-0.631085,0.0133359,-0.0795785,0.0488757,197,2019-09-29 14:41:47
199,2,-0.0545349,0.00355711,-0.48916,-0.000692204,-0.0828518,0.0529998,389,2019-09-29 14:41:47
200,2,-0.0545349,0.00355711,-0.48916,-0.000692204,-0.0828518,0.0529998,395,2019-09-29 14:41:47
201,2,-0.0288573,0.0131495,-0.412003,-0.0121661,-0.0692866,0.0603707,599,2019-09-29 14:41:47
202,2,-0.0288573,0.0131495,-0.412003,-0.0121661,-0.0692866,0.0603707,600,2019-09-29 14:41:47
203,2,-0.00723856,0.028215,-0.338876,-0.00669157,-0.0472822,0.0600322,816,2019-09-29 14:41:47
204,2,-0.00723856,0.028215,-0.338876,-0.00669157,-0.0472822,0.0600322,818,2019-09-29 14:41:47
205,2,0.0138169,0.0446537,-0.265808,0.0266266,-0.0225266,0.0489116,990,2019-09-29 14:41:47
206,2,0.0138169,0.0446537,-0.265808,0.0266266,-0.0225266,0.0489116,999,2019-09-29 14:41:47
207,2,0.0281375,0.0548148,-0.203745,0.0394636,-0.0081339,0.0446618,188,2019-09-29 14:41:48
208,2,0.0281375,0.0548148,-0.203745,0.0394636,-0.0081339,0.0446618,197,2019-09-29 14:41:48
209,2,0.0350778,0.0613085,-0.163993,0.0317695,-0.0210777,0.047776,387,2019-09-29 14:41:48
210,2,0.0350778,0.0613085,-0.163993,0.0317695,-0.0210777,0.047776,396,2019-09-29 14:41:48
211,2,0.0175346,0.0582225,-0.156089,0.0214066,-0.0223462,0.0488095,590,2019-09-29 14:41:48
212,2,0.0175346,0.0582225,-0.156089,0.0214066,-0.0223462,0.0488095,604,2019-09-29 14:41:48
213,2,0.0160379,0.0578758,-0.153392,0.0282029,-0.0180848,0.0565349,786,2019-09-29 14:41:48
214,2,0.0160379,0.0578758,-0.153392,0.0282029,-0.0180848,0.0565349,794,2019-09-29 14:41:48
215,2,0.042643,0.0515754,-0.12782,0.0276122,-0.011132,0.0675087,990,2019-09-29 14:41:48
216,2,0.042643,0.0515754,-0.12782,0.0276122,-0.011132,0.0675087,1,2019-09-29 14:41:49
217,2,0.0576704,0.0644119,-0.108059,0.0104018,-0.0218782,0.0600594,188,2019-09-29 14:41:49
218,2,0.0576704,0.0644119,-0.108059,0.0104018,-0.0218782,0.0600594,197,2019-09-29 14:41:49
219,2,0.0505054,0.0737636,-0.136195,0.0318274,-0.0244257,0.0573249,390,2019-09-29 14:41:49
220,2,0.0505054,0.0737636,-0.136195,0.0318274,-0.0244257,0.0573249,399,2019-09-29 14:41:49
221,2,0.0345923,0.0819327,-0.163401,0.0544031,-0.026097,0.0495315,586,2019-09-29 14:41:49
222,2,0.0345923,0.0819327,-0.163401,0.0544031,-0.026097,0.0495315,595,2019-09-29 14:41:49
223,2,0.0160995,0.0778385,-0.166181,0.0332409,-0.0127857,0.0428968,789,2019-09-29 14:41:49
